 Molecular Dynamics Program

 Number Of Particles   :          100
 Boxlength             :    5.0000000000000000     
 Density               :   0.80000000000000004     
 Temperature           :   0.50000000000000000     
 Cut-Off Radius        :    2.4999500000000001     
 Cut-Off Energy        :   -1.6318841245411584E-002
 Number Of Steps       :        50000
 Number Of Init Steps  :         5000
 Delta t               :    1.0000000000000000E-003
 Initial Energy        :    245316.72400150794     
 Final Energy          :   -240.12996283930053     

 Momentum X-Dir.        :   -4.6262993436130273E-013
 Momentum Y-Dir.        :    1.0137446437852304E-012
 Momentum Z-Dir.        :    1.2775891455873989E-013


 Step  TotalEnergy  KineticEnergy  PotentialEnergy  Temperature  Pressure
12350  -0.44176E+03   0.74088E+02  -0.51585E+03   0.49891E+00  -0.56768E+00
12400  -0.44176E+03   0.73280E+02  -0.51504E+03   0.49347E+00  -0.52724E+00
12450  -0.44176E+03   0.75425E+02  -0.51719E+03   0.50791E+00  -0.66400E+00
12500  -0.44176E+03   0.70484E+02  -0.51225E+03   0.47464E+00  -0.59170E+00
12550  -0.44176E+03   0.80902E+02  -0.52267E+03   0.54479E+00  -0.10219E+01
12600  -0.44176E+03   0.80035E+02  -0.52180E+03   0.53896E+00  -0.10302E+01
12650  -0.44176E+03   0.77556E+02  -0.51932E+03   0.52226E+00  -0.92283E+00
12700  -0.44176E+03   0.78888E+02  -0.52065E+03   0.53123E+00  -0.94436E+00
12750  -0.44176E+03   0.78660E+02  -0.52042E+03   0.52970E+00  -0.96394E+00
12800  -0.44176E+03   0.79655E+02  -0.52142E+03   0.53640E+00  -0.10318E+01
12850  -0.44176E+03   0.71139E+02  -0.51290E+03   0.47905E+00  -0.80532E+00
12900  -0.44176E+03   0.74805E+02  -0.51657E+03   0.50373E+00  -0.10557E+01
12950  -0.44176E+03   0.77878E+02  -0.51964E+03   0.52443E+00  -0.12405E+01
13000  -0.44176E+03   0.76595E+02  -0.51836E+03   0.51579E+00  -0.11685E+01
13050  -0.44176E+03   0.74798E+02  -0.51656E+03   0.50369E+00  -0.10161E+01
13100  -0.44176E+03   0.72688E+02  -0.51445E+03   0.48948E+00  -0.88347E+00
13150  -0.44176E+03   0.74829E+02  -0.51659E+03   0.50390E+00  -0.10046E+01
13200  -0.44176E+03   0.84908E+02  -0.52667E+03   0.57177E+00  -0.14281E+01
13250  -0.44176E+03   0.77135E+02  -0.51890E+03   0.51943E+00  -0.10851E+01
13300  -0.44176E+03   0.68223E+02  -0.50999E+03   0.45942E+00  -0.72483E+00
13350  -0.44176E+03   0.72047E+02  -0.51381E+03   0.48517E+00  -0.92974E+00
13400  -0.44176E+03   0.72730E+02  -0.51449E+03   0.48976E+00  -0.98443E+00
13450  -0.44176E+03   0.77193E+02  -0.51896E+03   0.51982E+00  -0.11032E+01
13500  -0.44176E+03   0.77199E+02  -0.51896E+03   0.51986E+00  -0.10125E+01
13550  -0.44176E+03   0.77963E+02  -0.51973E+03   0.52500E+00  -0.10299E+01
13600  -0.44176E+03   0.78935E+02  -0.52070E+03   0.53155E+00  -0.11566E+01
13650  -0.44176E+03   0.74820E+02  -0.51658E+03   0.50384E+00  -0.10123E+01
13700  -0.44176E+03   0.72920E+02  -0.51468E+03   0.49104E+00  -0.89229E+00
13750  -0.44176E+03   0.76741E+02  -0.51850E+03   0.51677E+00  -0.10119E+01
13800  -0.44176E+03   0.73357E+02  -0.51512E+03   0.49399E+00  -0.89389E+00
13850  -0.44176E+03   0.73785E+02  -0.51555E+03   0.49687E+00  -0.99258E+00
13900  -0.44176E+03   0.79788E+02  -0.52155E+03   0.53729E+00  -0.13205E+01
13950  -0.44176E+03   0.78533E+02  -0.52030E+03   0.52884E+00  -0.12923E+01
14000  -0.44176E+03   0.77089E+02  -0.51885E+03   0.51912E+00  -0.12431E+01
14050  -0.44176E+03   0.76837E+02  -0.51860E+03   0.51742E+00  -0.12719E+01
14100  -0.44176E+03   0.86101E+02  -0.52786E+03   0.57980E+00  -0.15723E+01
14150  -0.44176E+03   0.80233E+02  -0.52200E+03   0.54029E+00  -0.11909E+01
14200  -0.44176E+03   0.73238E+02  -0.51500E+03   0.49319E+00  -0.77184E+00
14250  -0.44176E+03   0.77277E+02  -0.51904E+03   0.52038E+00  -0.91134E+00
14300  -0.44176E+03   0.84214E+02  -0.52598E+03   0.56710E+00  -0.12434E+01
14350  -0.44176E+03   0.77440E+02  -0.51920E+03   0.52148E+00  -0.10649E+01
14400  -0.44176E+03   0.81062E+02  -0.52282E+03   0.54587E+00  -0.12234E+01
14450  -0.44176E+03   0.78683E+02  -0.52045E+03   0.52985E+00  -0.11347E+01
14500  -0.44176E+03   0.79096E+02  -0.52086E+03   0.53263E+00  -0.11217E+01
14550  -0.44176E+03   0.82548E+02  -0.52431E+03   0.55588E+00  -0.12062E+01
14600  -0.44176E+03   0.76989E+02  -0.51875E+03   0.51845E+00  -0.10206E+01
14650  -0.44176E+03   0.77372E+02  -0.51914E+03   0.52102E+00  -0.10758E+01
14700  -0.44176E+03   0.75748E+02  -0.51751E+03   0.51009E+00  -0.10637E+01
14750  -0.44176E+03   0.74255E+02  -0.51602E+03   0.50003E+00  -0.99626E+00
14800  -0.44176E+03   0.80512E+02  -0.52228E+03   0.54217E+00  -0.12913E+01
